Unnamed: 0,What was the purpose of your journey?,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
language,Leisure / Holiday,"Visiting family, friends or relatives",Business / Professional reason,"Overall, how satisfied were you with the information we provided before your journey?For example about arrival at the airport, baggage policy, required documents, check-in, and boarding times.",Is there anything we could have done differently to improve our communication before your journey?,How did you check in for your flight to {{ custom.dest_in_en }}?,Did you check in your baggage at the airport counter?,"Overall, how satisfied were you with the Check-In process on the [web/mobile/SS-Terminal]?","Overall, how satisfied were you with the Check-In process at the airport counter",Is there anything we could have done differently to make your Check-In experience more satisfying?,How would you rate your experience passing through airport security?,What about your experience didn't go as you would have expected it?,VisitedLounge,LoungeSatisfaction,Is there anything we could have done differently to make your experience at the lounge in {{ custom.dep_airport }} Airport more satisfying?,"Overall, how satisfied were you with the boarding process?",Is there anything we could have done differently to make your boarding experience more satisfying?,"Overall, how satisfied were you with your flight experience?",Is there anything we could have done differently to make your flight experience more satisfying?,"Overall, how would you rate your experience collecting your baggage upon arrival?",Is there anything we could have done differently to make your experience collecting your baggage upon arrival more satisfying?,How likely is it that you would recommend us to a friend or colleague?,We are sorry to hear that you would not recommend us!Could you please briefly explain how we could improve our services in the future?,"Lastly, if there were just one thing we could do that would make you more likely to recommend us, what would it be?","Lastly, could you briefly explain what would you particularly recommend about us?",dep_airport,arrival_airport,fare_family,persona
en,,"Visiting family, friends or relatives",,Unsatisfied,,Mobile App,No,Neutral,,,Satisfied,,No,,,Neutral,No change of plane. Did not got the voucher ,Neutral,,,,,,,,LUX,OPO,LIGHT,Couple
fr,,"Visiting family, friends or relatives",,Very unsatisfied,,Mobile App,No,Very unsatisfied,,,Very unsatisfied,Non tout s'est bien passé 😊,No,,,Very unsatisfied,,,,,,,,,,NCE,LUX,SMART,Couple
de,Leisure / Holiday,,,Very unsatisfied,Mein Flug wurde leider annulliert und ich habe mein Ziel erst sehr spät erreicht.,Website luxair.lu,Yes,Satisfied,Satisfied,,Satisfied,,No,,,Satisfied,,Very unsatisfied,,,,,,,,VIE,LUX,SMART,Couple
en,,"Visiting family, friends or relatives",,Satisfied,,Website luxair.lu,Yes,Satisfied,Very satisfied,,,,,,,,,,,,,,,,,VCE,LUX,BUSINESS,Couple
de,Leisure / Holiday,,,Satisfied,,Mobile App,No,Very satisfied,,,Satisfied,,No,,,Satisfied,,Satisfied,,,,,,,,VIE,LUX,SMART,Couple
de,,"Visiting family, friends or relatives",,,,,,,,,,,,,,,,,,,,,,,,LUX,,,
de,Leisure / Holiday,"Visiting family, friends or relatives",,Neutral,,Check-In counter at the airport,Yes,,,,,,,,,,,,,,,,,,,LUX,ACE,FLEX,Couple
de,Leisure / Holiday,,,Very satisfied,,,Yes,,,,,,,,,,,,,,,,,,,PMI,LUX,FLEX,Couple
fr,,"Visiting family, friends or relatives",,Satisfied,,Website luxair.lu,Yes,Very unsatisfied,,Non,Satisfied,,No,,,Satisfied,,Very satisfied,,,,,,,,LUX,VXE,SMART,Single
